annotator_id,n_annotated_texts,annotator_severity,annotator_severity_quantile,extreme_annotator_severity_quantile,extreme_annotator
1,14,-0.16,0.3992953611274222,0.9,False
4,12,-0.26,0.32560187903699356,0.9,False
9,11,1.01,0.9985320023487962,0.9,True
12,13,0.05,0.5455079271873166,0.9,False
14,14,0.74,0.9354081033470346,0.9,True
15,14,0.38,0.7645331767469172,0.9,False
20,17,-0.23,0.34674104521432764,0.9,False
23,20,-0.28,0.31004110393423373,0.9,False
25,10,0.19,0.6517909571344686,0.9,False
26,14,-0.16,0.3992953611274222,0.9,False
28,20,-0.06,0.46917204932472106,0.9,False
31,14,0.17,0.6362301820317088,0.9,False
32,13,-0.18,0.38490898414562535,0.9,False
34,12,0.04,0.5381679389312977,0.9,False
36,14,-0.29,0.30035231943628893,0.9,False
38,16,0.1,0.5842630651790958,0.9,False
39,13,0.81,0.9577216676453317,0.9,True
41,15,-0.55,0.15091015854374634,0.9,False
42,11,0.29,0.715208455666471,0.9,False
49,13,-0.79,0.05813270698766882,0.9,False
50,14,-0.43,0.21315325895478568,0.9,False
51,19,-1.03,0.004110393423370522,0.9,False
54,16,0.75,0.940986494421609,0.9,True
55,16,0.16,0.6271285965942455,0.9,False
56,12,-0.62,0.11802701115678214,0.9,False
58,11,-0.39,0.23987081620669407,0.9,False
67,10,-0.86,0.03992953611274222,0.9,False
69,11,0.11,0.5939518496770405,0.9,False
72,12,0.1,0.5842630651790958,0.9,False
73,11,-0.14,0.4151497357604228,0.9,False
75,14,0.18,0.6447445684086905,0.9,False
76,11,-0.43,0.21315325895478568,0.9,False
84,18,-0.26,0.32560187903699356,0.9,False
87,14,-0.5,0.17557251908396945,0.9,False
88,11,-0.8,0.0546095126247798,0.9,False
99,14,0.87,0.9729888432178508,0.9,True
101,12,-0.05,0.4750440399295361,0.9,False
103,10,0.06,0.5528479154433353,0.9,False
105,10,-0.57,0.14004697592483853,0.9,False
106,13,0.83,0.9627128596594245,0.9,True
108,10,-0.42,0.22019964768056371,0.9,False
111,10,0.05,0.5455079271873166,0.9,False
114,10,0.48,0.8244274809160306,0.9,False
117,15,0.04,0.5381679389312977,0.9,False
118,11,-0.16,0.3992953611274222,0.9,False
123,19,0.04,0.5381679389312977,0.9,False
124,13,0.13,0.6077510275983559,0.9,False
127,11,-0.21,0.3637698179682913,0.9,False
128,18,0.3,0.7196124486200822,0.9,False
129,11,-0.56,0.14533176746917206,0.9,False
137,15,0.79,0.9506752789195537,0.9,True
140,13,-0.55,0.15091015854374634,0.9,False
142,10,-0.12,0.4266001174398121,0.9,False
146,14,0.35,0.7451556077510276,0.9,False
151,13,-0.53,0.1608925425719319,0.9,False
153,12,-0.86,0.03992953611274222,0.9,False
157,11,0.74,0.9354081033470346,0.9,True
160,19,0.05,0.5455079271873166,0.9,False
165,12,-0.07,0.46271285965942455,0.9,False
167,15,0.58,0.8778625954198473,0.9,False
168,15,0.63,0.8995889606576629,0.9,False
177,11,0.18,0.6447445684086905,0.9,False
178,14,-0.01,0.5026423957721667,0.9,False
179,11,0.48,0.8244274809160306,0.9,False
180,12,0.16,0.6271285965942455,0.9,False
182,15,0.25,0.6881972988843218,0.9,False
183,11,-0.43,0.21315325895478568,0.9,False
185,13,0.68,0.9139753376394598,0.9,True
188,10,0.38,0.7645331767469172,0.9,False
189,16,0.2,0.6576629477392836,0.9,False
193,15,-0.42,0.22019964768056371,0.9,False
197,15,-0.38,0.2457428068115091,0.9,False
200,10,0.48,0.8244274809160306,0.9,False
203,11,-0.49,0.18056371109806224,0.9,False
205,10,0.69,0.9174985320023488,0.9,True
207,10,0.75,0.940986494421609,0.9,True
208,10,-0.62,0.11802701115678214,0.9,False
219,16,0.1,0.5842630651790958,0.9,False
220,11,0.03,0.5325895478567234,0.9,False
223,12,-0.38,0.2457428068115091,0.9,False
224,14,0.15,0.6200822078684675,0.9,False
226,18,-0.39,0.23987081620669407,0.9,False
228,14,-0.82,0.05079271873165003,0.9,False
229,15,0.72,0.9260129183793306,0.9,True
234,10,0.21,0.6644157369348209,0.9,False
247,17,-0.21,0.3637698179682913,0.9,False
248,14,0.26,0.6943628890193776,0.9,False
250,12,-0.53,0.1608925425719319,0.9,False
251,10,0.15,0.6200822078684675,0.9,False
253,15,0.05,0.5455079271873166,0.9,False
263,19,-0.47,0.1911332941867293,0.9,False
265,15,0.02,0.5237815619495009,0.9,False
268,10,0.22,0.6717557251908397,0.9,False
270,14,-0.63,0.11567821491485614,0.9,False
274,14,0.63,0.8995889606576629,0.9,False
276,12,0.35,0.7451556077510276,0.9,False
281,16,0.03,0.5325895478567234,0.9,False
286,11,0.68,0.9139753376394598,0.9,True
290,11,-0.17,0.39166177334116264,0.9,False
291,16,-0.07,0.46271285965942455,0.9,False
292,19,-0.96,0.013799177921315325,0.9,False
295,10,0.54,0.8599530240751615,0.9,False
296,15,-0.5,0.17557251908396945,0.9,False
297,12,-0.51,0.16999412800939517,0.9,False
300,15,0.45,0.8082795067527891,0.9,False
301,11,0.26,0.6943628890193776,0.9,False
304,10,-0.69,0.09453904873752202,0.9,False
306,18,-0.77,0.06371109806224311,0.9,False
308,10,-0.17,0.39166177334116264,0.9,False
309,20,-0.3,0.2950675278919554,0.9,False
312,12,0.69,0.9174985320023488,0.9,True
313,13,-0.42,0.22019964768056371,0.9,False
