instance_id,text,IDENTITY_ATTACK,THREAT,SEVERE_TOXICITY,INSULT,PROFANITY,TOXICITY
184,Hang her up and set her on fire,0.06294931,0.70934254,0.35368225,0.24903896,0.28364125,0.7308154
226,death to m u l a t t o s,0.57150364,0.70054704,0.45895407,0.4596616,0.4044591,0.76197964
357,@kylegriffin1 I would shoot it down you degenerate muslim.,0.71678543,0.70934254,0.54893947,0.6675394,0.46460027,0.85173553
574,"you're not funny, why don't you just kill yourself?",0.08087392,0.7016913,0.4195425,0.48228607,0.38413823,0.85333383
940,"@TheyCallMePansy I will destroy your fat cunt, cunt",0.45348886,0.70778835,0.6134631,0.7775208,0.86331284,0.93383175
1044,"I PICK UP THE CROWN AS I KILL U 4 ATTEMPTING THE FEAT   HUNTER   JESUS U FOOLISH FUK, you wander into the room, merrily point a fuking gun at my hed, AND THEN EXPECT A VARIETY OF GRENADES NOT TO BE PLACED IN YOUR PRESENCE, HUNTER, you do realize, that those grenades can only kill you, your STUPIDITY WILL SHIELD US, RETARD    THX4 the NAME, ILL USE IT",0.38200524,0.7368375,0.66275287,0.7804726,0.8326356,0.9563754
1171,		If you’re not ANTIFA you’re PROFA. You facist fuck I would punch you in the teeth if I saw you in the street.,0.46028158,0.7650986,0.6612285,0.802824,0.84506536,0.9248995
1198,screw it i will just kill all of you,0.13377325,0.85759705,0.52891463,0.49151286,0.64657205,0.9391453
1680,its too harsh to use pellet bullets on these fucking separatists... Indian Army should use AK-47 and kill those bastards who throw Stones acids and raise their voice against India.... Ghus ke maaro bc ko!!!!!!!!!,0.57150364,0.70934254,0.71338886,0.71120167,0.70864636,0.7510937
2027,I hope the next nigger to get killed by the cops is @MilkUser,0.85058814,0.70054704,0.54181844,0.6675394,0.5711371,0.90451443
2422,Kill em all put them hoes to REST 😂😂😂,0.2869935,0.70934254,0.46947223,0.4810288,0.44475567,0.82048255
