instance_id,text,IDENTITY_ATTACK,THREAT,SEVERE_TOXICITY,INSULT,PROFANITY,TOXICITY
1221,Fuck I dont want to catch the black,0.76079035,0.08089764,0.44787344,0.5270482,0.84995824,0.9061063
1415,And republicans will still cry when they're rightfully compared to nazis. Fucking scum.,0.5135796,0.02682521,0.44787344,0.8390655,0.87472564,0.9248995
1292,Get the fuck out of here.,0.0543092,0.029069828,0.35368225,0.5270482,0.90862066,0.9248995
1372,bull shit. Just like that journalist who was sniped for absolutely fuck all right?,0.06567776,0.11922921,0.35515398,0.5678696,0.91513264,0.9248995
1499,Holy shit. Flamelurker and the gargoyles had bastard children. Fuck yes.,0.116281845,0.025789235,0.44787344,0.6109131,0.91513264,0.9209984
753,More like fuck your dismal reading comprehension.,0.033784978,0.025789235,0.3532795,0.5177041,0.8855216,0.9029226
409,"Dammit. How I'm supposed to pay for my hookers this month? Curse you, woke facebook moms!",0.27510223,0.16067244,0.45895407,0.67254376,0.85672,0.9209984
1405,Probably because it's ignorant as fuck,0.04512853,0.009463178,0.35368225,0.6306599,0.90862066,0.9248995
869,"fuck you, you're just pretending to be blocked. get back to work RIGHT NOW you piece of shit piping",0.24801466,0.1115629,0.64932865,0.87225974,0.9421618,0.9749944
852,These things are fucking stupid.,0.026609946,0.007974415,0.34962174,0.6149945,0.927271,0.9288007
712,Dumbass liberals. You’d let anyone fuck you over.,0.44690517,0.3297989,0.45895407,0.802824,0.90150756,0.9391453
84,Fuck off no one cares,0.06249457,0.04233929,0.460081,0.6407567,0.927271,0.95048624
200,"that kind of shit is now being used against gays to accuse us of being close minded for shit like not wanting women in our gay porn, i literally seen gay guys getting accused of being sexists for not wanting gay porn companies to be including women in gay porn vids",0.7063701,0.054947287,0.45895407,0.5678696,0.7796426,0.911035
804,"Here's a thought: While YOU'RE rotting in Hell, why don't you fuck yourself in the meantime? Heaven knows, no one else would want to touch that useless piece of crap dangling between your legs!!",0.11163961,0.3203622,0.56375664,0.7762574,0.84995824,0.9209984
896,"Holy fuck I didn't realize Benny here could go THIS low, I thought he was just a racist shitbag, not a complete and utter moron.",0.36702603,0.013702838,0.45895407,0.8032227,0.8802007,0.9209984
297,"I said helping, you dumb fuck...",0.073429056,0.014393489,0.45401973,0.8579266,0.9205162,0.9563754
1430,Balto didn’t do shit and can go fuck himself,0.12208464,0.17648515,0.50703704,0.67254376,0.8802007,0.95048624
689,Lem. Fuck Shane and his junkie girlfriend.,0.19890837,0.0824309,0.45895407,0.65231085,0.87472564,0.91625386
1002,Those fucks that constantly annoy you by giving you all these tips and suggestions every other day and criticise your workout routine. That one guy who comes to the gym just to flirt with girls and sits on the machines. FUCK YOU MOTHERFUCKER I WANNA DO SOME ACTUAL WORKOUT. Sweaty fucks who don't wipe after they're done,0.21866,0.091630474,0.61260825,0.6991143,0.91513264,0.96069145
19,Every time he sucks a dick he gets douchier,0.10221587,0.04098356,0.45895407,0.48675314,0.8089582,0.9029226
455,This lady is stupid as fuck if you research half the shit that comes out of her mouth,0.28034934,0.0475118,0.5381526,0.87225974,0.89909166,0.96426713
514,Fucking lol at Vice. You cucks deserve it.,0.22063516,0.07093142,0.45895407,0.6675394,0.87472564,0.91625386
