instance_id,text,IDENTITY_ATTACK,THREAT,SEVERE_TOXICITY,INSULT,PROFANITY,TOXICITY
80211,Spics and niggers ruined it for the rest of us as usual.,0.8182097,0.03718498,0.36435235,0.6677319,0.5381406,0.8252207
118918,you niggas and bitches are shiesty asf bruh no cap . no loyalty whatsoever .,0.8386719,0.05042134,0.5520787,0.8634578,0.8690192,0.9391453
15677,fuck that im not helping you fuck a nigger,0.8443434,0.13815513,0.61260825,0.8685752,0.94929975,0.9817629
40220,I don’t hate white men... but white guys are fuckin retarded! Right black-trans-Muslim-queer-autistic ladies?,0.8682002,0.114629425,0.56375664,0.8082062,0.8326356,0.9391453
152120,If a nigga disrespect me then that nigga might not be breathing,0.8182097,0.13815513,0.35368225,0.65231085,0.541926,0.83334327
64523,i swear to god before my life ends i am going to gather my guns up and get some body armor and make one last glorious ride through a black neighborhood taking as many of these fucking niggers with me as i can.,0.8330005,0.54744303,0.45895407,0.67254376,0.78491896,0.8778702
4015,Fuck I hate the trans community.,0.8330005,0.039256934,0.45895407,0.6109131,0.85672,0.944597
162621,"Shit negro, that's all you had to say",0.82739437,0.060443077,0.45895407,0.7827088,0.84506536,0.9248995
90919,No more fucking niggas bitches @additupcuello and everybody keep telling me that's going to be my downfall lol,0.84706575,0.13815513,0.56375664,0.802824,0.8949436,0.944597
2715,NOT ON MY WATCH. I'LL SLAP DOWN ON THE HATERS,0.8102261,0.036149003,0.35368225,0.6099415,0.5013569,0.78855824
98914,WTF.. yo fuck arrested.. somebody need to cut that nigga tongue out,0.8182097,0.6615786,0.56375664,0.7827088,0.8690192,0.95048624
144513,A plantation aristocrat whose idea of a good time was fucking niggers.,0.82739437,0.049774777,0.45895407,0.72756535,0.8690192,0.91625386
33619,"I wish all ""Latino"" fags die",0.8836641,0.7016913,0.5454843,0.6500014,0.6001929,0.9288007
805,"Tay Keith, fuck these niggas up",0.8443434,0.1733226,0.460081,0.7657292,0.8802007,0.944597
87520,He was pretty based. And he hated niggers and chinks.,0.8182097,0.048481647,0.35368225,0.6308392,0.5365423,0.78711975
47819,/pol/ has two explanations for everything wrong in this world: niggers,0.8182097,0.030969119,0.41034412,0.6308392,0.48510036,0.8115627
63918,Interesting: numerous security cameras! Epstein strikes me as someone that likes to hold on to tapes...,0.8182097,0.12689553,0.45895407,0.65865606,0.89909166,0.96426713
83922,gay deaf black Hispanic Representation is getting fucking ridiculous. I'm surprised he's not Muslim tbh,0.82739437,0.048481647,0.5188304,0.7492263,0.8326356,0.9248995
146922,Black 2020: Fuck that nigga.,0.84706575,0.08703069,0.50234145,0.7967344,0.902047,0.9563754
22623,I absolutely fucking detest gay pride and view those Faggots with the same contempt and context as what Niggers are to Blacks.,0.84706575,0.042985857,0.50703704,0.7418356,0.844891,0.9209984
6920,WHAT THE FUCKING SHITFUCK NIGGER BACKWARDS ASS THINKING CAN PROPOSE THIS AS A SOLUTION YES I'M FUCKING MAD.,0.8330005,0.13700877,0.61476606,0.8390655,0.9421618,0.9749944
