instance_id,text,IDENTITY_ATTACK,THREAT,SEVERE_TOXICITY,INSULT,PROFANITY,TOXICITY
141221,I want to see everyone burn.,0.20088354,0.70934254,0.35368225,0.24928534,0.3033754,0.75208336
51421,Shaddup or I'll slap u on my next return,0.060220852,0.70934254,0.35368225,0.3388922,0.32299677,0.6989911
12671,C.C.: I’m gonna shoot you Lelouch; Can’t shoot me if I shoot myself 🤪🤪🤪,0.040745795,0.70479965,0.34993178,0.110259406,0.2761231,0.6827122
46923,"If that's what you did as in your ""youth"" than you deserve to be shot in the face.",0.09245483,0.7299411,0.35368225,0.40243408,0.26586622,0.7761081
85623,IM GOING TO STRANGLE ALL THREE OF YOU,0.10221587,0.7940924,0.45895407,0.24928534,0.3597395,0.8299589
3013,taystee needs to shoot this motherfuckeeeeer... it’s what he deserves!,0.13591312,0.70778835,0.51028454,0.65129566,0.7466957,0.90451443
125520,"if i was locked in a room with Hitler, Bin Laden, and whoever started using ""locals"" as a derogatory term and I had a gun with two bullets I'd shoot Hitler and Bin Laden and then kill the third person with my bare hands because I would enjoy it more that way",0.35948995,0.70934254,0.35368225,0.2469859,0.2600683,0.6544696
73918,Would kill anyone who did this at my wedding,0.1232452,0.7488629,0.35368225,0.18480228,0.34827787,0.7675452
44410,So kill yourself yousef. It’s easy vro.,0.042550452,0.7016913,0.35368225,0.36798462,0.33453682,0.7675452
165922,You kick a corgi and I'll kick you into the sun,0.10221587,0.70934254,0.35368225,0.24928534,0.2963245,0.6989911
119210,"Alright, ima dig it out of the computer and I'll shoot it your way.",0.023997234,0.70934254,0.2733782,0.08508729,0.2453505,0.6544696
19623,SHOOT HIM BEFORE A CHEST BURSTER COMES OUT!! NOW!!!!!!!,0.04203484,0.70778835,0.3536391,0.18355975,0.22643133,0.6989911
14115,how dare you make me see a fake woke twitter post I’m going to beat you within an inch of your life,0.10221587,0.7016913,0.34969926,0.3388922,0.29456177,0.6744087
6208,Ill beat tf out one of you bitches DEADUP!!,0.2803029,0.70934254,0.52891463,0.7090544,0.7673477,0.9061063
33619,"I wish all ""Latino"" fags die",0.8836641,0.7016913,0.5454843,0.6500014,0.6001929,0.9288007
48911,I want to do this now Killing off everyone besides Marth and Merric,0.17769934,0.70934254,0.35368225,0.19734058,0.32120174,0.71760553
84813,Kill it and everything that looks like it,0.055673428,0.7122392,0.35368225,0.1640896,0.33453682,0.76523775
7689,Threaten to kill those who don't support feminist law,0.5135796,0.73375875,0.35368225,0.24928534,0.32965264,0.73663366
7865,Or punch them in the face before reset,0.0440973,0.7016913,0.34950548,0.17237684,0.2424468,0.6588125
27214,i'm really good at holding myself back but if I meet anyone and they tell me that they use facebook dating im going to kick them in the chest,0.10221587,0.70934254,0.30192792,0.1935001,0.32965264,0.687436
1648,"you reply ""WTF man I'm going to blow your head off",0.10221587,0.70934254,0.45895407,0.49389273,0.5722072,0.85333383
15249,“Marry her... smash her and kill both of you.”- Cam Lamar 😂😂,0.07177465,0.72833186,0.35368225,0.26957804,0.2801717,0.74954444
96515,is there anyone that hasn't retweeted yet? ill kill u,0.0775651,0.8014802,0.35368225,0.25602314,0.36099523,0.8403191
50711,if you ever did that i think i’d kill you,0.06522302,0.85759705,0.45895407,0.26957804,0.38063943,0.88599813
12701,Karimi 2020: call me sweetheart again and imma punch ur throat,0.1232452,0.7018109,0.54893947,0.48228607,0.39409557,0.6588125
9801,He had a gun and pointed it at em I’d shoot his also 🤷🏾‍♂️,0.027011903,0.70934254,0.30192792,0.110259406,0.17706433,0.6426206
4408,Can we go back to the old days and kill people for doing this?,0.078392304,0.7016913,0.26195827,0.13607834,0.2424468,0.6667219
251717,You’re just mad I’ll gun u with that,0.049989145,0.70479965,0.34997055,0.3682569,0.31043148,0.6989911
24561,"*to Luka* They should all die! All of them! Everything, annihilated! - Alois Trancy",0.22063516,0.7488629,0.45895407,0.39297962,0.35346076,0.78207105
319616,TELL HIM TO EAT FESIS!! and punch him in the throat. 🌟,0.06749674,0.70934254,0.45077345,0.4534306,0.3366329,0.7701451
292923,Anyone who comes within 10 feet of Edna must die.,0.28034934,0.7016913,0.35368225,0.27969417,0.2761231,0.73663366
250219,"I hope you don’t have any, and I hope you die!",0.10221587,0.70934254,0.45895407,0.43296707,0.35346076,0.85333383
33695,My little brother will try to kill you if you show him this picture,0.072601855,0.779386,0.35368225,0.24928534,0.34536663,0.7998551
209016,"""aptitude for logistics"" bitch i'll kill you",0.27701542,0.8871364,0.61260825,0.71120167,0.84995824,0.968226
21491,i don't want to kill - i just want to kill anyone who resists r/killthosewhodisagree,0.18158256,0.7488629,0.4195425,0.16868424,0.33808854,0.7510937
35095,"Gilmore: Vecna’s a bit arrogant in my opinion Vecna, in the shadowfell: I’m going to steal him and get him killed by his friends",0.10221587,0.7299411,0.44713756,0.42743355,0.34391102,0.7701451
344421,I’m about to kill them with success Somebody call my attorney,0.06158508,0.70934254,0.35184112,0.1662211,0.28708664,0.71760553
271414,im gonna cut their throats off who ignored her,0.1508922,0.7299411,0.35368225,0.27969417,0.33434898,0.743089
237216,like wow and know i gotta kill you because you know my secrets!,0.038683333,0.7650986,0.35368225,0.23237456,0.3496935,0.7856813
